2023-07-18T16:34:26.845Z getCity called
2023-07-18T16:34:33.741Z deleteCity called
2023-07-18T16:34:40.700Z getCity called
2023-07-18T16:34:44.426Z deleteCity called
2023-07-18T16:34:45.410Z deleteCity called
2023-07-18T16:34:50.163Z getCity called
2023-07-18T16:35:01.550Z addNewCity called
2023-07-18T16:35:06.269Z getCity called
2023-07-18T16:35:11.153Z deleteCity called
2023-07-18T16:35:15.019Z deleteCity called
2023-07-18T16:35:19.071Z getCity called
2023-07-18T16:35:22.092Z addNewCity called
2023-07-18T16:35:37.272Z updateCity called
2023-07-18T17:05:00.707Z Server initiated, running on port 5555
2023-07-18T17:05:00.712Z Server initiated, running on port 5555
2023-07-18T17:05:00.729Z Server initiated, running on port 5555
2023-07-18T17:05:00.730Z Server initiated, running on port 5555
2023-07-18T17:05:00.741Z Server initiated, running on port 5555
2023-07-18T17:05:00.742Z Server initiated, running on port 5555
2023-07-18T17:05:00.759Z Server initiated, running on port 5555
2023-07-18T17:05:00.775Z Server initiated, running on port 5555
2023-07-18T17:05:00.775Z Server initiated, running on port 5555
2023-07-18T17:05:00.780Z Server initiated, running on port 5555
2023-07-20T00:44:25.617Z Server initiated, running on port 5555
2023-07-20T00:44:25.617Z Server initiated, running on port 5555
2023-07-20T00:44:25.640Z Server initiated, running on port 5555
2023-07-20T00:44:25.650Z Server initiated, running on port 5555
2023-07-20T00:44:25.664Z Server initiated, running on port 5555
2023-07-20T00:44:25.674Z Server initiated, running on port 5555
2023-07-20T00:44:25.679Z Server initiated, running on port 5555
2023-07-20T00:44:25.681Z Server initiated, running on port 5555
2023-07-20T00:44:25.700Z Server initiated, running on port 5555
2023-07-20T00:44:25.708Z Server initiated, running on port 5555
2023-07-20T00:44:43.110Z Server initiated, running on port 5555
2023-07-20T00:44:43.111Z Server initiated, running on port 5555
2023-07-20T00:44:43.130Z Server initiated, running on port 5555
2023-07-20T00:44:43.136Z Server initiated, running on port 5555
2023-07-20T00:44:43.138Z Server initiated, running on port 5555
2023-07-20T00:44:43.143Z Server initiated, running on port 5555
2023-07-20T00:44:43.146Z Server initiated, running on port 5555
2023-07-20T00:44:43.147Z Server initiated, running on port 5555
2023-07-20T00:44:43.166Z Server initiated, running on port 5555
2023-07-20T00:44:43.175Z Server initiated, running on port 5555
